GeneID,67_S53,68_S54
Cox7b2,0,0
Rgs17,0,0
Mzf1,30,62
Cdk2ap1,837,553
Adam34,0,0
Srcin1,1,0
Nphs1,0,0
Tsnaxip1,7,12
Phyh,831,789
Vdac1,5686,5830
Grb2,3946,3742
Pax7,0,0
Elane,0,0
Zcchc18,150,167
Smarcd3,0,1
Khdc3,2,2
Rab5a,1261,1192
Slc25a23,54,67
Mir6975,0,0
Olfr15,0,0
Cd68,204,208
Sh3kbp1,5465,6832
Mir6980,0,0
Mir6976,0,0
Pan3,258,253
4930550C14Rik,7,12
Cobll1,240,299
Tmsb15a,0,0
Prl3c1,0,0
Dguok,895,880
Rpl3,16884,13035
Cntn6,0,0
Ap1ar,773,867
Barhl1,0,0
Fmn2,0,0
Srfbp1,579,412
Actrt2,0,0
Ccdc30,25,38
Myl12a,16370,14241
Stard3nl,2426,2033
Xaf1,153,227
Kansl2,329,264
Otub1,2572,2220
C2cd5,651,822
Capza1,4003,4436
Asap1,182,291
Alyref,7700,6511
Prkacb,4228,5491
A630077J23Rik,0,0
Scyl2,416,445
1700095B10Rik,0,0
Gm12505,0,0
Fhad1os1,0,0
Rgs19,2400,2126
LOC100125594,0,0
AY702102,0,0
Ctbp1,4669,4468
Txndc16,310,382
Oxt,0,0
Mfap2,0,0
Strit1,0,0
Ncor2,928,710
Slxl1,0,0
Avpr1b,0,0
Gm20556,0,0
4930452N14Rik,0,0
Fam229a,0,0
Skint3,0,0
Ckm,5,3
Ncan,0,0
A830082K12Rik,0,0
Ablim2,206,119
Fgf1,0,0
Armt1,380,347
Ncbp3,1214,901
Slc15a3,73,47
Ccnc,955,913
Atp2a3,8350,8572
2810004N23Rik,1010,783
Rwdd1,2584,2069
Grtp1,0,1
Podxl,2,1
A330076C08Rik,0,0
4930532M18Rik,0,0
Zfp617,80,67
C1ql1,5,0
Bpnt1,697,717
Ube3a,1636,1804
Ubb,16539,15544
Tyr,0,0
Nob1,1844,1369
Med21,1058,986
Sostdc1,0,0
Ftsj3,1378,1145
Gdpd3,1,0
Tjap1,577,539
Mrps7,2835,2128
Stau2,33,40
Paqr5,16,9
Mir6940,0,0
Mir6939,0,0
Mir6942,0,0
Clasp1,431,580
Rbm10,1803,1640
Mrgprd,0,0
Slc41a3,100,117
Flot2,2206,2765
Ccnyl1,114,110
Ecm1,44,12
Cd82,5903,6204
Anks1,235,221
Syt6,29,28
Gm20609,0,0
Dnmt3a,1023,1038
Mpv17l,28,27
Pde4dip,519,541
Pomgnt2,0,0
Mir6406,0,0
Ankrd10,747,913
4930504C09Rik,0,0
Nsg1,5,21
Prkar1b,8,0
Tmem159,546,499
Thumpd1,1102,1322
Brdt,9,13
Adgrv1,9,3
Ctu1,214,213
Cpa5,0,0
Ube2m,8100,6108
Ccdc136,72,49
Mrps35,950,792
Gpr84,0,0
Eva1a,0,1
Pcdhgb8,0,0
Znf41-ps,1,13
Tmem141,81,30
Rsph6a,0,0
Thy1,4147,3509
Thrb,20,38
Thpo,0,0
Adam17,1571,1775
Prap1,0,0
Uox,0,0
Patl2,0,0
Tmem86a,3,6
Plce1,1,0
Gpr21,0,0
Olfr518,0,0
Olfr420,0,0
Olfr1340,0,0
Aknad1,0,0
Pde2a,12,85
Rhbdf2,1626,1269
Mtmr11,31,29
Rps27l,8068,5769
Ppa1,3039,2566
Mfap3l,3,3
Ifi30,729,711
Cpvl,0,0
Nipbl,1322,1080
Rbm12b1,56,57
1700029P11Rik,0,0
Defa29,0,0
1810012K16Rik,3,10
Ascl5,0,0
Nox4,0,0
Eral1,702,659
Insm2,5,3
Nqo2,597,460
4930526I15Rik,130,101
4930511M06Rik,0,0
1110038B12Rik,142,115
1110020A21Rik,6,10
Angel2,1134,1024
Cpeb3,19,1
Armh3,160,220
Dhx30,1634,1348
Marchf1,3,0
Efemp2,208,114
Mmaa,55,70
4933406K04Rik,0,0
Npy4r,0,0
Raet1b,0,0
Gpr12,0,0
Cstf2,1117,1040
Hap1,0,0
Gabra6,0,0
Ugt1a1,0,0
Ormdl2,479,353
Tec,434,542
Tom1,211,186
Sgpl1,1033,1177
Ang5,0,0
Hvcn1,469,521
1700109H08Rik,16,8
Nmrk2,1,4
Pi4k2b,633,418
Rtn4ip1,273,334
Sdr42e1,131,72
Ahctf1,476,586
Stk31,0,0
Ctrb1,0,0
C330018D20Rik,169,125
Ankrd55,0,1
Sema3d,10,17
Wdr82,627,591
Slc6a19,16,1
4933430I17Rik,8,8
Dao,3,1
E2f3,217,162
Usp17lc,0,0
Zbtb39,64,66
1810058I24Rik,1837,1535
Klkb1,0,0
Neurog1,0,3
Neurod2,0,0
Hspb1,2,5
Neb,1223,966
Ptger3,67,21
Ptcra,3,0
Pstpip1,4311,3583
Scn1b,720,568
Slc20a1,1269,954
Csnk1g2,5407,4817
Gm12348,0,0
Olfr1333,0,0
Olfr741,0,0
Zc2hc1c,2,2
Rap2c,642,559
Nkx2-3,0,0
Aplf,180,166
Fam13c,0,0
Tex33,0,0
Phospho2,500,477
Col20a1,27,10
Fgd6,94,103
Ccdc60,0,0
Trerf1,138,413
Ctnnd1,0,0
Stxbp1,184,213
Zfp275,50,63
Acer2,12,7
