"","genes","logFC","logCPM","PValue","FDR"
"Abcb1b","Abcb1b",1.91257383736607,5.46155388009715,0.00868516638199962,0.379852459772089
"Fbxo5","Fbxo5",1.64134818814824,2.69016378192558,0.00874858532778408,0.38107704267866
"Cd300lg","Cd300lg",-1.50806428566775,3.05840487743077,0.00887077374052628,0.384841349493235
"Dnajc15","Dnajc15",1.60878693520872,5.25415269595318,0.00895381052191548,0.386883724519232
"Rhoh","Rhoh",1.7527382871949,4.74139674471805,0.00904505477879153,0.389262977460072
"Tspoap1","Tspoap1",1.73802260134673,4.38614789304763,0.00911841229980284,0.389929356934717
"Crtam","Crtam",1.83182814904517,1.98810139973298,0.00913302332443058,0.389929356934717
"Neil3","Neil3",1.65781107457854,3.27128417488525,0.0091877970123864,0.390717423147294
"Slc2a4rg-ps","Slc2a4rg-ps",1.59656562805517,4.22493619941309,0.00924956054019637,0.39179536162194
"Tnfsf10","Tnfsf10",1.70979074344777,3.49474935070531,0.00932836230465881,0.392979520476177
"Nos3","Nos3",-1.58542520058831,2.77032317439225,0.00935056764029198,0.392979520476177
"Irf4","Irf4",1.75078009944672,6.12668062732046,0.00946332451804707,0.393239479380716
"Mras","Mras",-1.46379687916445,2.72883875695339,0.00947416449766075,0.393239479380716
"6530402F18Rik","6530402F18Rik",1.68984608716331,3.70599303272319,0.00951823663734003,0.393239479380716
"H2-T10","H2-T10",2.00653485793377,4.62124021572485,0.00952797451576819,0.393239479380716
"Plac8","Plac8",1.71023177880441,6.40027485647329,0.00953950219521954,0.393239479380716
"Pitpnc1","Pitpnc1",1.49648167809664,5.97008884032568,0.00972150653386085,0.398886654906054
"Fam189b","Fam189b",1.45991334232477,5.66081843948052,0.00976416936221345,0.398886654906054
"Pimreg","Pimreg",1.49349622503935,2.99869877395032,0.00978771975975447,0.398886654906054
"Cit","Cit",1.55034893663259,3.888116071378,0.0101499051621055,0.412086149581484
"Map4k2","Map4k2",1.71879523057427,7.1876603789168,0.0101982669470744,0.412493060464561
"Acss2","Acss2",1.5072511548403,4.09819714836228,0.0102507149137652,0.41306157961498
"Aff3","Aff3",1.82382135461044,2.03215210694042,0.0105261169700039,0.419848546042754
"Pcdh17","Pcdh17",-1.44864084245687,3.16522152426253,0.0105290222066953,0.419848546042754
"Nbeal2","Nbeal2",1.62448821501315,7.71754059474892,0.0105362122345519,0.419848546042754
"Adcy4","Adcy4",-1.31983273196481,4.17412508396709,0.0108063602275745,0.427349324668093
"Alkbh4","Alkbh4",1.55115248757548,3.40461962868829,0.0108914045784455,0.427349324668093
"Sytl1","Sytl1",1.60263084665605,4.67176865866541,0.0109180517005632,0.427349324668093
"Ncapd2","Ncapd2",1.49064379630212,6.53934303384304,0.0109213225888185,0.427349324668093
"Il2rg","Il2rg",1.93882500665441,8.31944342359736,0.0109230471497096,0.427349324668093
"Nt5c3b","Nt5c3b",1.37727021252522,4.91116798108139,0.0109751271145695,0.427516396548551
"A430046D13Rik","A430046D13Rik",1.60130110815056,2.1151592708629,0.0110067889063992,0.427516396548551
"Faah","Faah",1.48936677613482,6.35836982981548,0.0111001623344422,0.429592253799508
"Top2a","Top2a",1.60105120216191,7.0564424478816,0.011240091302476,0.43344853879333
"Spc24","Spc24",1.54397052314333,3.58542076671372,0.0113078638863359,0.433527863702605
"Cdca5","Cdca5",1.55781771362775,3.69682578728181,0.0113227372153947,0.433527863702605
"Nupr1","Nupr1",-1.63427860638613,7.14941758971973,0.0114524146652048,0.436938047457229
"Ncapg","Ncapg",1.48610827997983,3.92286663159623,0.0115442321817686,0.438884784606532
"Rnf217","Rnf217",-1.29167013976561,4.52743038663167,0.0122968852499026,0.465852776069375
"Stk32c","Stk32c",1.92706803567838,3.0655214484459,0.0123581338602296,0.466530393691964
"Kif15","Kif15",1.46103091231933,4.21763905628691,0.012419461189814,0.467094893660154
"Mybl2","Mybl2",1.48128996738771,3.9295038710864,0.0124599158360874,0.467094893660154
"Vdr","Vdr",-1.50242455495817,5.36452580492711,0.0125636794490065,0.46934939997174
"Lonrf3","Lonrf3",-1.43035008871798,4.34084545326839,0.0127401217282797,0.473680011825908
"Cep97","Cep97",1.54241657343884,2.87661515968307,0.0127676553052805,0.473680011825908
"Lbr","Lbr",1.46763146442474,6.13993406981309,0.0129039942085438,0.477093036734443
"Med12l","Med12l",1.59214441425294,2.6732732851958,0.0130659155355356,0.48142529194119
"Pik3cd","Pik3cd",1.83014791977251,7.71302529164453,0.0132062230010525,0.484934311495987
